Position,Bib #,Athlete Name,Gender,Category,Club,Swim,Swim,T1,Bike,T2,Run,Gun Time, Time Difference
45,954,EVAN CRYER-JENKINS,M,TS3,,,0:07:23,0:03:34,0:15:49,0:00:47,0:12:16,0:39:51,+00:14:27
46,957,LIBERTY KNOX MURPHY,F,TS3,Camden Triathlon Club,,0:06:08,0:01:56,0:17:06,0:00:49,0:14:04,0:40:05,+00:14:41
47,955,SAMUEL FRASER,M,TS3,,,0:06:12,0:02:11,0:15:37,0:00:42,0:15:39,0:40:22,+00:14:58
48,981,TETSUYA YOSHIMURA,M,TS3,,,0:09:22,0:02:04,0:15:26,0:00:43,0:13:59,0:41:36,+00:16:12
49,293,SOPHIE STONE,F,TS3,stones outdoor fitness,,0:06:47,0:02:09,0:16:42,0:00:54,0:15:38,0:42:12,+00:16:48
50,292,POPPY LAWRENCE,F,TS3,,,0:07:19,0:02:51,0:16:35,0:00:47,0:14:49,0:42:22,+00:16:58
51,986,SARAH RABIN,F,TS3,,,0:06:32,0:02:08,0:18:40,0:00:45,0:14:20,0:42:27,+00:17:03
52,973,SIMON MISRAHI,M,TS3,,,0:07:46,0:02:17,0:18:08,0:00:50,0:13:38,0:42:42,+00:17:18
53,971,PATRICK HORSLEY,M,TS3,,,0:06:56,0:02:07,0:19:01,0:00:35,0:15:56,0:44:37,+00:19:13
54,915,MICHAEL MCHALE,M,TS3,,,0:07:56,0:02:04,0:17:24,0:00:59,0:16:16,0:44:41,+00:19:17
55,959,RACHEL TIMLIN,F,TS3,,,0:06:38,0:03:04,0:17:57,0:00:55,0:16:17,0:44:53,+00:19:29
56,291,DANNY FORD,M,TS3,,,0:08:43,0:02:22,0:18:31,0:00:52,0:15:11,0:45:40,+00:20:16
57,953,CHLOE FLYNN-CAUGHEY,F,TS3,,,0:07:27,0:02:26,0:19:27,0:00:45,0:17:25,0:47:32,+00:22:08
-,982,JAMIE TAYLOR,M,TS3,Hillingdon Triathletes,,0:04:17,0:01:27,0:09:18,0:00:44,0:10:39,0:00:00,
,,,,,,,,,,,,,
Copyright StuWeb Race Timing - http://www.stuweb.co.uk,,,,,,,,,,,,,
Not for re-publication online without prior written permission.,,,,,,,,,,,,,
